artobject_id,db_title,youtube_title,old_video_id,old_url,new_video_id,new_url,new_title,action
611,050a / BORN to MOVE - Kazakhstan unlimited,"050a BORN to MOVE / X-treams, X-dreams - Kazakhstan",aUg2dv4XXgM,https://www.youtube.com/watch?v=aUg2dv4XXgM,F_jtAQxN9I0,https://www.youtube.com/watch?v=F_jtAQxN9I0,"050a BORN to MOVE / X-treams, X-dreams - Kazakhstan (Enhanced 4K)",REPLACE
666,056 / FILMTIME  / MTV  m2 Hungarian Television,FILMTIME – MTV m2 Hungarian Television,hH4mTkFUKdg,https://www.youtube.com/watch?v=hH4mTkFUKdg,dJAybqPxKfw,https://www.youtube.com/watch?v=dJAybqPxKfw,FILMTIME – MTV m2 Hungarian Television (Enhanced 4K),REPLACE
667,057a / Fucking Good KAMCHATKA  - ballet for 2 poachers,fucking good KAMCHATKA – Ballet for Two Poachers (English Edition),Ydkc8oZzHBY,https://www.youtube.com/watch?v=Ydkc8oZzHBY,KKvkEH2kdwY,https://www.youtube.com/watch?v=KKvkEH2kdwY,fucking good KAMCHATKA – Ballet for Two Poachers (English Edition) (Enhanced 4K),REPLACE
677,058a / HAMAS – Rise to Power,GAZA / HAMAS – RISE to POWER (English Edition),N6jAviwcNmo,https://www.youtube.com/watch?v=N6jAviwcNmo,AWZcGZVfpDw,https://www.youtube.com/watch?v=AWZcGZVfpDw,GAZA / HAMAS – RISE to POWER (English Edition) (Enhanced 4K),REPLACE
881,059a / Krapivnaja - LOST in TRANSITION,KAMCHATKA / LOST in TRANSITION (English Edition),9Rz8jpSUmPM,https://www.youtube.com/watch?v=9Rz8jpSUmPM,iCvKylpkr64,https://www.youtube.com/watch?v=iCvKylpkr64,KAMCHATKA / LOST in TRANSITION (English Edition) (Enhanced 4K),REPLACE
882,060a / BEAR and FISH - PARADEIZA,KAMCHATKA / BEAR and FISH (English Edition),0tapt-cyoSY,https://www.youtube.com/watch?v=0tapt-cyoSY,3uOFkulu-p4,https://www.youtube.com/watch?v=3uOFkulu-p4,KAMCHATKA / BEAR and FISH (English Edition) (Enhanced 4K),REPLACE
883,061a / TOLBACHIK - Ludmilla's Volcano,061a / TOLBACHIK - Ludmilla's Volcano - E,uFI77oD4K_k,https://www.youtube.com/watch?v=uFI77oD4K_k,XbvXjdYO-UI,https://www.youtube.com/watch?v=XbvXjdYO-UI,061a / TOLBACHIK - Ludmilla&#39;s Volcano - E (Enhanced 4K),REPLACE
884,043 / KAZAKHSTAN - LAND INSIDE ME,043 Land Inside Me - Almaty,f1FFHaB68UY,https://www.youtube.com/watch?v=f1FFHaB68UY,-P7n9IGutH0,https://www.youtube.com/watch?v=-P7n9IGutH0,043 Land Inside Me - Almaty (Enhanced 4K),REPLACE
1748,083k / DPRK / Guns and Cherry Blossoms,DPRK / Guns and Cherry Blossoms,rNtr5Y7Yaok,https://www.youtube.com/watch?v=rNtr5Y7Yaok,mgiCufz-q4E,https://www.youtube.com/watch?v=mgiCufz-q4E,DPRK / Guns and Cherry Blossoms (Enhanced 4K),REPLACE
1308,036 / RettungsMarsch 1913 - saving 20 seconds,RettungsMarsch 1913 - saving 20 seconds (Long Version) 21:30,AtuAAkLGRPo,https://www.youtube.com/watch?v=AtuAAkLGRPo,gY_wU9Pj8ts,https://www.youtube.com/watch?v=gY_wU9Pj8ts,RettungsMarsch 1913 - saving 20 seconds (Long Version) 21:30 (Enhanced 4K),REPLACE
1309,052a / JERUSALEM / Itzhak Frey & Son – MEA SHEARIM,052a  Itzhak  Frey & Sohn - D,wxJ7SGgb42c,https://www.youtube.com/watch?v=wxJ7SGgb42c,aJyIakn9Sbk,https://www.youtube.com/watch?v=aJyIakn9Sbk,052a  Itzhak  Frey &amp; Sohn - D (Enhanced 4K),REPLACE
1760,091 / Dinner at Natasha and Petro,091 / Dinner at Natasha and Petro,CM_Qhcpc1us,https://www.youtube.com/watch?v=CM_Qhcpc1us,uoIxmJeb6Kg,https://www.youtube.com/watch?v=uoIxmJeb6Kg,091 / Dinner at Natasha and Petro (Enhanced 4K),REPLACE
1763,095 / TIBET – Top of the World,Base Camp Everest – Top of the world,aefe1fn7Kf0,https://www.youtube.com/watch?v=aefe1fn7Kf0,sv-GECx5IY4,https://www.youtube.com/watch?v=sv-GECx5IY4,Base Camp Everest – Top of the world (Enhanced 4K),REPLACE
1845,083m BRUSH PAINTING /DPRK,"BRUSH PAINTING, DPRK",sIK1U7gS-tw,https://www.youtube.com/watch?v=sIK1U7gS-tw,1YiVtv_Kfww,https://www.youtube.com/watch?v=1YiVtv_Kfww,"BRUSH PAINTING, DPRK (Enhanced 4K)",REPLACE
1839,083n / Acrobatics / DPRK,DPRK / TRADITIONAL DANCE,y81sU3NL3Fo,https://www.youtube.com/watch?v=y81sU3NL3Fo,rKXO40z_6P4,https://www.youtube.com/watch?v=rKXO40z_6P4,DPRK / TRADITIONAL DANCE (Enhanced 4K),REPLACE
1840,083o Accordion Lesson /DPRK,"ACCORDION LESSON, DPRK",AkAtP0oKCMs,https://www.youtube.com/watch?v=AkAtP0oKCMs,NywefhQNLlE,https://www.youtube.com/watch?v=NywefhQNLlE,"ACCORDION LESSON, DPRK (Enhanced 4K)",REPLACE
1841,083p Drawing class / DPRK,"DRAWING PRACTISE, DPRK",lCpwATzkfMA,https://www.youtube.com/watch?v=lCpwATzkfMA,WDUOdzD7iR0,https://www.youtube.com/watch?v=WDUOdzD7iR0,"DRAWING PRACTISE, DPRK (Enhanced 4K)",REPLACE
1842,083q Drama Class / DPRK,DPRK / DRAMA CLASS,pdya9ZzlGhg,https://www.youtube.com/watch?v=pdya9ZzlGhg,ghUf1WlCvZg,https://www.youtube.com/watch?v=ghUf1WlCvZg,DPRK / DRAMA CLASS (Enhanced 4K),REPLACE
1843,083r  Girls Choir / DPRK,"GIRL'S CHOIR, DPRK",m4j94BSQMp4,https://www.youtube.com/watch?v=m4j94BSQMp4,ygd0y24iPcQ,https://www.youtube.com/watch?v=ygd0y24iPcQ,"GIRL&#39;S CHOIR, DPRK (Enhanced 4K)",REPLACE
1844,083s Gayageum / DPRK,DPRK / GAYAGEUM - concert zither,0RRuKv3u7dU,https://www.youtube.com/watch?v=0RRuKv3u7dU,lLNFpEBOaIE,https://www.youtube.com/watch?v=lLNFpEBOaIE,DPRK / GAYAGEUM - concert zither (Enhanced 4K),REPLACE
1857,101 / TIBET / Gyantse – Sandpainting Mandalas – Kumbum Monastery,TIBET / Sandpainting Mandalas – Kumbum Monastery,Md53nopQbck,https://www.youtube.com/watch?v=Md53nopQbck,0m3zbyA2mvA,https://www.youtube.com/watch?v=0m3zbyA2mvA,TIBET / Sandpainting Mandalas – Kumbum Monastery (Enhanced 4K),REPLACE
